PWSSWGT,age,sex,education,marital_status,race,state_fips,metro_status,cbsa_code,labor_force_status_major,industry_major_recode,PRMJOCC1,hourly_earnings,use_laptop,use_desktop,use_tablet,use_smartphone,internet_at_home,internet_at_work,internet_at_school,internet_at_cafe,internet_while_traveling,HXINLICO,internet_elsewhere_home,internet_other_places,is_random_respondent,internet_usage_count,internet_user
48290250,40,2,41,1,2,13,2,0,1,13,5,-1,1,1,1,0,0,0,0,0,0,0,0,0,20,0,0
50266809,37,1,36,1,1,13,2,0,1,12,8,-1,1,1,1,0,0,0,0,0,0,0,0,0,-1,0,0
40538948,49,2,43,1,1,13,1,42340,1,9,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
58050359,32,1,43,1,1,13,1,42340,1,9,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
42157019,51,2,40,1,1,13,1,0,1,9,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,8,1
55431334,53,2,39,1,1,13,1,12060,5,-1,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,20,0,0
65979131,53,1,39,1,1,13,1,12060,5,-1,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0
38066592,32,1,40,1,1,13,1,47580,7,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
42287646,35,2,43,1,1,13,1,47580,1,12,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
61323486,50,2,41,2,2,13,1,12060,1,12,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
90586432,34,1,39,4,2,13,1,12060,1,12,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
47777705,26,2,39,1,1,13,1,12060,1,10,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
65735100,26,1,39,1,1,13,1,12060,1,3,7,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
55597701,30,1,35,6,1,13,1,12060,1,3,7,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
63904519,52,1,35,4,1,13,1,12060,1,3,7,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
55431334,51,2,43,4,1,13,1,12060,1,5,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
64719625,44,1,39,1,1,13,1,12060,1,3,7,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
54808754,39,2,40,1,1,13,1,12060,7,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
87791007,54,1,43,4,2,13,1,12060,1,8,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
54930197,47,2,40,4,1,13,1,12060,1,8,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
46030500,38,1,44,1,4,13,1,12060,1,9,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
55136829,30,2,46,1,4,13,1,12060,7,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
71092044,47,2,42,2,4,13,1,12060,5,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
65415495,49,1,43,1,2,13,1,12060,1,5,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
70915008,43,2,45,1,2,13,1,12060,1,10,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
66230963,54,2,44,6,2,13,1,12060,1,6,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
54592091,41,1,43,6,1,13,1,12060,1,3,7,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
54507199,49,1,40,4,1,13,1,12260,1,6,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
96480612,44,1,41,1,2,13,1,12060,1,6,10,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
79148229,42,2,40,1,2,13,1,12060,7,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
